20638386	827837	817592
21775823	7157	9821
18725399	851125	852060
18725399	853376	852060
21569203	2335	28379874
10604475	3676	5829
20618438	567	3077
12819209	5618	7534
21600204	945829	945098
10206957	850755	854840
9571151	695	9467
16236155	836733	817014
25117763	108909	12005
20849418	9798	23473
11359905	7157	25942
19372599	7439	7439
21057547	8312	18854
22529269	64421	5591
22529269	3981	64421
18583960	13205	56480
19207211	831841	819122
18570893	801	4651
18570893	810	4651
12681510	10672	9138
14594800	801	355
17289029	1499	84662
21239581	11241639	936340
19559006	23189	55605
22817896	8737	8737
15805487	826470	826470
20494986	881908	881982
8417317	853548	854387
8940099	4792	5770
10921886	836	5979
19242489	3691	5339
21642453	946401	946393
15350535	58480	5058
26342861	11197	7474
26342861	11197	7476
16254079	5036	25942
17699755	828661	839300
15709751	105835	24392
16137687	51429	8867
17986188	944778	944778
15864306	8483	7040
10206962	50671	50671
20691684	116643	68053
20691684	116643	83809
20691684	22230	116643
9467941	1489017	5829
20493856	11845	30957
9047334	50671	50671
10357812	64531	84018
10067897	42034	32567
19749176	851513	853347
18093972	26118	15258
20547845	3146	7099
11069292	837479	816394
23957209	5578	124056
20890284	10870	22914
9194564	7157	1387
18974936	830015	843296
9414278	2155	2152
10675337	2553	3054
19682074	936266	936266
20453063	55636	57680
11423549	87	7791
17012600	821607	822098
17280616	79370	9833
15067009	2993	2993
15067009	3674	3674
12351681	35956	40554
12351681	43283	40554
16247757	4000	7112
20181956	6311	26986
20181956	57690	26986
23164639	2950	9588
9038200	832217	832217
23357641	375790	114249
23357641	114249	15530
15965644	567	3077
15965644	3077	7037
23901104	64601	65082
16443932	19	998
21242966	26272	7531
11454208	854158	856366
18647389	274	9185
18647389	2885	9185
11777938	2542880	2541957
21681199	1018885	1018885
18273061	1956	867
18273061	4233	867
18273061	867	6850
18273061	867	10253
18273061	867	81848
17881003	845	845
20972459	23558	25937
17932487	4137	1639
16511572	1111	4194
15546359	827103	825473
10629049	3054	10488
15805117	5111	5111
17644582	1149310	1149309
15632183	819358	830273
14504388	835809	833502
19878303	1080	281831
16834334	16518	16518
12813041	1163	6502
20553494	5087	4212
18165306	946982	944870
10814541	7295	10628
16127465	657	8200
16127465	658	8200
21239585	899430	899430
15247908	1793	9844
24835508	237336	2957
22978324	13528	5566
22978324	13528	314906
23871208	26191	22031
22579287	1956	1956
17218263	3690	21894
11112409	1616	7329
16830178	836733	817014
17097642	5037	5894
16096643	20617	22629
12588987	1499	367
11027267	855408	850298
15572661	1616	367
17947231	825414	822277
16299177	824920	821463
21471202	4038	50964
18715871	151987	5531
22303461	120892	4137
10837255	853100	852794
10837255	854191	852794
9528852	8314	672
19162005	207	28984
12354775	44843	32078
16002700	962	51744
22773792	939508	936772
16888629	4780	9817
12679340	855993	853357
21763481	380718	232987
8702870	6789	6789
12592399	945829	945829
7644498	22377	10413
7644498	22378	10413
21554542	3167975	3167975
23446637	80184	9657
22796944	851136	852582
11940652	856382	850930
21763312	1137497	1137497
21763312	1137499	1137497
14675757	853534	856677
14675757	856465	856677
17276458	2885	5338
16203728	64127	55914
16858409	22031	228607
9488135	7124	7124
9488135	7124	7132
9488135	7124	7133
18256029	10016	310
18256029	311	10016
18256029	7251	10016
18256029	10015	10016
18256029	57048	10016
11520064	14367	94221
16000169	5111	10714
21803990	948430	947335
7758105	8717	21937
9389648	4089	4087
9389648	4087	398070
9389648	4089	398070
16511560	4194	4193
14594812	817170	820816
17666011	121504	816486
17666011	121504	829072
9515927	946441	944877
17641689	1387	81857
17641689	5914	81857
17641689	6256	81857
17719007	818839	818839
17719007	824981	824981
22510884	673	673
22510884	673	5894
9398522	945829	945829
15483055	8615885	8622150
21460798	855861	852881
7561682	5829	5747
11231056	83431	18472
19013460	851479	851654
8940045	2155	2152
21697476	3783727	5451
10531343	53420	53420
10531343	20981	20981
10531343	20981	53420
10531343	53420	54524
10531343	54524	54526
10531343	54524	54524
10531343	20981	54526
10531343	20981	54524
10531343	53420	54526
16963136	887	19247
22661693	888659	888659
25174448	8200	8200
20935100	1249352	1246846
10660620	29992	5777
21360678	11140	5536
21360678	5536	10963
15169891	13043	7454
15169891	13043	281577
21435037	998	1252609
18923418	3636118	3637052
18923418	3639672	3637052
18923418	3644820	3637052
21172304	367	7832
15716268	19017	93759
19860830	100009227	7534
20801936	9675	80185
16239229	948665	948655
16438971	840471	842081
12839993	821879	825648
15674350	2099	672
26278368	1045103	1045103
20969867	1387	4297
16282325	329	7186
16282325	329	56616
12902344	25252	8945
24366945	22213	22213
14519764	24414	24669
14519764	24669	81672
14519764	24418	24669
17350650	6050	6035
22960107	24392	25472
20168298	5310	5311
17347647	11840	57584
8840966	1021	1031
20224574	9656	4683
23178720	30011	829
11106648	12558	5770
12732628	4338	4338
12527904	675	6118
9012831	12229	2969
14675752	11765	9685
22904282	888164	2721310
22354040	855132	851266
25600339	5605	673
16014621	843271	832467
15226396	395964	2241
17377852	140290	140290
