19913028	460	460
27601274	74402	460
18635949	7809	37894
11412103	55444	21267
8947469	3817	7889
8639815	95	2391
12042306	137135	208
10340301	20225	7470
15134463	4049	55681
19060929	1434	55629
15910284	8632	48364
10022517	133558	55448
14962982	3234	20856
11448951	496	828
9166661	20090	4049
19293155	38114	38295
10220325	100009341	100009527
27339457	32339	1741
12023952	55639	55639
17994549	128406	36327
15297464	3817	3817
10713059	143	466
16091361	11085	1593
26078055	20186	7514
11598113	2285	6263
17938171	1033	4531
21084607	3785	3189
9326658	1489078	1739
11399766	47902	460
12660155	10520	2228
16457665	40959	81623
14752512	48053	7242
21454680	7857	2063
9712735	55429	55430
8943292	81850	7674
14684752	37496	37667
9677323	74303	1960
23897824	11918	75163
7824275	3273	3273
11546794	20457	7889
16365047	4531	3987
7629119	56383	20187
16472755	48276	5042
9918721	1258647	1258702
17594292	460	74841
21325834	20952	3137
21741389	504	68446
9312046	3817	55671
21482671	7782	3960
14573774	68073	1256
26628682	3911	3911
8664285	143	466
17510211	74545	20917
23406872	2736	18855
17369112	121635	50690
15994317	1223	1960
25703721	84397	84397
25241353	55429	1551
16478718	1778	11409
22754302	105677	143
12193273	4446	129755
11431700	3230	160
21144847	8410	8410
9131587	1793	460
16760361	20171	55534
7832783	426	1510
16331994	4281	68089
14512552	912270	912271
8637717	74409	333
24713462	17517	85014
9322914	100351261	281097
14645919	3783704	3783746
20303977	1793	460
24231739	12042	3355
12682077	20242	2841
21706042	3921863	728
17689488	2418	4452
16004603	7880	4584
9872991	74545	3273
21345796	20660	3197
16288208	2421	460
7539005	168	1666
9891036	47906	47906
8756622	1491938	2957
11877416	6080	7329
16376338	460	56528
7711031	121718	68069
7642641	74545	1576
26140185	2155	460
27588474	55948	136512
12223469	20936	3881
14706290	68069	134804
11724794	107053	37667
11854310	74402	79542
8943292	81850	50501
16439544	11168	155348
8555228	55497	68099
27799292	87858	2836
9751730	134179	87131
11742726	3189	293
16848763	88435	137331
10889020	266	267
27092946	55465	1696
20559570	7934	1510
12865432	48145	48145
14752512	68209	7639
7615549	7314	37697
19147558	7511	7865
9724018	1731	193
16081517	28	7859
12783850	3355	4594
23653349	1936	2063
22811067	3881	3881
17939682	20242	2841
11773052	64653	14164
15247219	55639	7314
8911681	81850	55575
10772864	548083	615026
16581787	272	28546
12673016	6545	110648
10713702	133549	133549
20359967	4224	128418
14699067	37450	10532
15831449	47906	4131
11886851	121568	1997
9642250	2113	267
18202149	713	8276
20029648	48053	48053
19917604	129835	7924
19933215	68040	48353
8537363	20084	68068
25978431	210	81697
10833518	3707558	3707708
